appid,name,source,resolved_offline
223850,3DMark,appinfo.vdf,yes
228980,Steamworks Common Redistributables,appmanifest,yes
264020,Geekbench 3,appinfo.vdf,yes
333600,NEKOPARA Vol. 1,appinfo.vdf,yes
373770,LiEat,appinfo.vdf,yes
385800,NEKOPARA Vol. 0,appinfo.vdf,yes
412830,STEINS;GATE,appmanifest,yes
420110,NEKOPARA Vol. 2,appmanifest,yes
469990,NEKOPALIVE,appinfo.vdf,yes
602520,NEKOPARA Vol. 3,appmanifest,yes
617660,Dong-Jin Rice-hime,appmanifest,yes
621060,PC Building Simulator,appmanifest,yes
658560,Zup! 7,appinfo.vdf,yes
702050,The Song of Saya,appinfo.vdf,yes
767320,Granblue Fantasy,appmanifest,yes
824270,KovaaK's,appinfo.vdf,yes
825550,BlueberryNOVA,appinfo.vdf,yes
825630,STEINS;GATE 0,appmanifest,yes
878750,Hentai Girl,appinfo.vdf,yes
880950,Maitetsu:Pure Station,appmanifest,yes
885650,The Waters Above: Prelude,appinfo.vdf,yes
892970,Valheim,appinfo.vdf,yes
899970,NEKOPARA Extra,appmanifest,yes
927890,Hentai Girl Linda,appinfo.vdf,yes
930910,STEINS;GATE: Linear Bounded Phenogram,appmanifest,yes
960170,DJMAX RESPECT V,appinfo.vdf,yes
963690,Hentai Girl Hime,appinfo.vdf,yes
969700,NekoMiko,appinfo.vdf,yes
970560,STEINS;GATE: My Darling's Embrace,appmanifest,yes
981750,Crystar,appmanifest,yes
1004240,Hentai Girl Karen,appinfo.vdf,yes
1037590,Neptunia Shooter,appinfo.vdf,yes
1109460,There is No GreenDam,appinfo.vdf,yes
1111460,Bunny eShop,appmanifest,yes
1117630,I got a cat maid！,appinfo.vdf,yes
1144400,Senren＊Banka,appmanifest,yes
1146950,Hentai Girl Fantasy,appinfo.vdf,yes
1148510,Pretty Angel,appinfo.vdf,yes
1212620,Pretty Neko,appinfo.vdf,yes
1223870,Sakura Hime 2,appinfo.vdf,yes
1241700,There is no game: Jam Edition 2015,appinfo.vdf,yes
1245620,ELDEN RING,appinfo.vdf,yes
1290490,UNBEATABLE [white label],appinfo.vdf,yes
1365730,BB Chicken,appinfo.vdf,yes
1406990,NEKOPARA Vol. 4,appmanifest,yes
1434480,Maitetsu:Last Run!!,appmanifest,yes
1447430,小黑盒加速器,appmanifest,yes
1512940,Malody V,appinfo.vdf,yes
1621690,Core Keeper,appmanifest,yes
1669980,Volcano Princess,appmanifest,yes
1732740,Sakura Hime,appinfo.vdf,yes
1789650,NEKO-MIMI SWEET HOUSEMATES Vol. 1,appmanifest,yes
1870310,Doomsday Robot Girl,appinfo.vdf,yes
1894080,I got a millenary cat,appinfo.vdf,yes
1900260,虚拟主播模拟器 测试版,appinfo.vdf,yes
1910130,Qwilight,appinfo.vdf,yes
1920960,VPet,appinfo.vdf,yes
1988940,からぱりうぉーず,appinfo.vdf,yes
1996210,Sakura Hime 3,appinfo.vdf,yes
2069830,「恋～清楚系猟奇物語～」日本語 playtest,appinfo.vdf,yes
2070850,Sakura Hime 4,appinfo.vdf,yes
2078120,Hot And Lovely 5,appinfo.vdf,yes
2093940,vivid/stasis,appinfo.vdf,yes
2182450,Fairy Girl,appinfo.vdf,yes
2190220,Touhou Danmaku Kagura Phantasia Lost,appmanifest,yes
2289720,Kaiju Princess 2,appmanifest,yes
2302530,MementoMori: AFKRPG,appmanifest,yes
2350390,Neko Office: Nightlife Adventures,appinfo.vdf,yes
2429860,Living With Sister: Monochrome Fantasy,appinfo.vdf,yes
2442230,Brave Nine,appmanifest,yes
2483190,Forza Horizon 6,appmanifest,yes
2595860,Hitler is my crush,appinfo.vdf,yes
2654470,BUNNY GARDEN,appinfo.vdf,yes
2674580,Hitler My Friend,appinfo.vdf,yes
2695270,Miss Neko: Pirates,appmanifest,yes
2754170,Sore wa Maichiru Sakura no You ni -Re:BIRTH-,appmanifest,yes
2873080,The NOexistenceN of you AND me,appinfo.vdf,yes
2899760,"さくら、もゆ。-as the Night's, Reincarnation-",appmanifest,yes
2938850,Sakura Hime 5,appinfo.vdf,yes
3012420,抓到冒險者醬了！～Live2D觸手模擬器～,appinfo.vdf,yes
3052450,Morimens,appmanifest,yes
3161510,Hitler is My Crush: Love and Fascism,appinfo.vdf,yes
3224770,Umamusume: Pretty Derby,appinfo.vdf,yes
3339420,你的老婆,appinfo.vdf,yes
3419430,Bongo Cat,appinfo.vdf,yes
3436170,Let's Start Managing the Sexual Relief Department!,appinfo.vdf,yes
3443820,BUNNY GARDEN 2,appinfo.vdf,yes
3447040,Sora no Kiseki the 1st,appmanifest,yes
3449850,桌面小猫娘,appinfo.vdf,yes
3557620,Blue Archive,appmanifest,yes
3655150,NEKOPARA After,appmanifest,yes
3796350,My Auto Clicker,appmanifest,yes
3942480,The NOexistenceN of Morphean Paradox : The Forest of Silver Shallots,appmanifest,yes
3970580,All Our Broken Parts Playtest,appinfo.vdf,yes
4038990,Crusaders Quest : Mini,appmanifest,yes
4071440,Tenshoku Maou,appinfo.vdf,yes
4176500,Arknights: The Shadow Of Terra,appinfo.vdf,yes
4380250,电梯 Elevator Playtest,appinfo.vdf,yes
4673900,完蛋！我被男同学包围了,appinfo.vdf,yes
4838470,My (♂) Life as a Vampire's Maid (♀),appmanifest,yes
