appid,name,source,acf_path
228980,Steamworks Common Redistributables,appmanifest,c:\program files (x86)\steam\steamapps\appmanifest_228980.acf
412830,STEINS;GATE,appmanifest,E:\SteamLibrary\steamapps\appmanifest_412830.acf
420110,NEKOPARA Vol. 2,appmanifest,E:\SteamLibrary\steamapps\appmanifest_420110.acf
602520,NEKOPARA Vol. 3,appmanifest,E:\SteamLibrary\steamapps\appmanifest_602520.acf
617660,Dong-Jin Rice-hime,appmanifest,E:\SteamLibrary\steamapps\appmanifest_617660.acf
621060,PC Building Simulator,appmanifest,E:\SteamLibrary\steamapps\appmanifest_621060.acf
767320,Granblue Fantasy,appmanifest,E:\SteamLibrary\steamapps\appmanifest_767320.acf
825630,STEINS;GATE 0,appmanifest,E:\SteamLibrary\steamapps\appmanifest_825630.acf
880950,Maitetsu:Pure Station,appmanifest,E:\SteamLibrary\steamapps\appmanifest_880950.acf
899970,NEKOPARA Extra,appmanifest,E:\SteamLibrary\steamapps\appmanifest_899970.acf
930910,STEINS;GATE: Linear Bounded Phenogram,appmanifest,E:\SteamLibrary\steamapps\appmanifest_930910.acf
970560,STEINS;GATE: My Darling's Embrace,appmanifest,E:\SteamLibrary\steamapps\appmanifest_970560.acf
981750,Crystar,appmanifest,E:\SteamLibrary\steamapps\appmanifest_981750.acf
1111460,Bunny eShop,appmanifest,E:\SteamLibrary\steamapps\appmanifest_1111460.acf
1144400,Senren＊Banka,appmanifest,E:\SteamLibrary\steamapps\appmanifest_1144400.acf
1406990,NEKOPARA Vol. 4,appmanifest,E:\SteamLibrary\steamapps\appmanifest_1406990.acf
1434480,Maitetsu:Last Run!!,appmanifest,E:\SteamLibrary\steamapps\appmanifest_1434480.acf
1447430,小黑盒加速器,appmanifest,D:\SteamLibrary\steamapps\appmanifest_1447430.acf
1621690,Core Keeper,appmanifest,E:\SteamLibrary\steamapps\appmanifest_1621690.acf
1669980,Volcano Princess,appmanifest,E:\SteamLibrary\steamapps\appmanifest_1669980.acf
1789650,NEKO-MIMI SWEET HOUSEMATES Vol. 1,appmanifest,E:\SteamLibrary\steamapps\appmanifest_1789650.acf
2190220,Touhou Danmaku Kagura Phantasia Lost,appmanifest,E:\SteamLibrary\steamapps\appmanifest_2190220.acf
2289720,Kaiju Princess 2,appmanifest,E:\SteamLibrary\steamapps\appmanifest_2289720.acf
2302530,MementoMori: AFKRPG,appmanifest,E:\SteamLibrary\steamapps\appmanifest_2302530.acf
2442230,Brave Nine,appmanifest,E:\SteamLibrary\steamapps\appmanifest_2442230.acf
2483190,Forza Horizon 6,appmanifest,D:\SteamLibrary\steamapps\appmanifest_2483190.acf
2695270,Miss Neko: Pirates,appmanifest,E:\SteamLibrary\steamapps\appmanifest_2695270.acf
2754170,Sore wa Maichiru Sakura no You ni -Re:BIRTH-,appmanifest,D:\SteamLibrary\steamapps\appmanifest_2754170.acf
2899760,"さくら、もゆ。-as the Night's, Reincarnation-",appmanifest,E:\SteamLibrary\steamapps\appmanifest_2899760.acf
3052450,Morimens,appmanifest,E:\SteamLibrary\steamapps\appmanifest_3052450.acf
3447040,Sora no Kiseki the 1st,appmanifest,E:\SteamLibrary\steamapps\appmanifest_3447040.acf
3557620,Blue Archive,appmanifest,D:\SteamLibrary\steamapps\appmanifest_3557620.acf
3655150,NEKOPARA After,appmanifest,E:\SteamLibrary\steamapps\appmanifest_3655150.acf
3796350,My Auto Clicker,appmanifest,E:\SteamLibrary\steamapps\appmanifest_3796350.acf
3942480,The NOexistenceN of Morphean Paradox : The Forest of Silver Shallots,appmanifest,E:\SteamLibrary\steamapps\appmanifest_3942480.acf
4038990,Crusaders Quest : Mini,appmanifest,D:\SteamLibrary\steamapps\appmanifest_4038990.acf
4838470,My (♂) Life as a Vampire's Maid (♀),appmanifest,c:\program files (x86)\steam\steamapps\appmanifest_4838470.acf
